uuid,url,topic_names,component_names,created_time,changed_time,published_time,teaser,title,body,has_right_topic,has_empty_topic_but_right_text
7de7ff91-2cfd-4b45-8ee7-f49ba633237b,https://www.justice.gov/usao-edca/pr/sex-trafficker-teen-girls-sentenced-over-12-years-prison,Human Trafficking; Project Safe Childhood,"USAO - California, Eastern",1440011447,1448919244,1439870400.0,,Sex Trafficker of Teen Girls Sentenced to over 12 Years in Prison,"<p>FRESNO, Calif. — Michael Anthony Andrade, 34, of Fresno, was sentenced today by Senior United States District Judge Anthony W. Ishii to 12 years and seven months in prison for sex trafficking of a minor, United States Attorney Benjamin B. Wagner announced. Andrade’s co-defendant Javier Solis is scheduled to be sentenced August 24, 2015.</p>

<p>According to court documents, Andrade and Solis forced two girls, ages 15 and 17, to perform sex acts for money first in Fresno and then in San Luis Obispo. In addition, the 15‑year-old girl was taken to a tattoo parlor in Fresno where the defendants’ nicknames were tattooed on her, one name on each shoulder.                                                                            </p>

<p>Court documents further reflect the 17-year-old, a runaway, spoke with Fresno Police officers on October 24, 2013, after her mother brought her home from San Luis Obispo. While being interviewed, she told officers about the 15-year-old who was still in San Luis Obispo under the control of the defendants as well as the motel where she was staying. In response, the San Luis Obispo Police Department was contacted, and officers were able to successfully remove her from that location.</p>

<p>“Collaboration, such as occurred here between federal, state, and local agencies, is the key to stopping human trafficking networks. We are pleased with the guilty pleas and the message that this tough sentence sends to anyone involved in sex trafficking of minors. We will continue to be vigilant to seek out and take down the perpetrators of human trafficking by using the collaboration of our anti-human trafficking task force,” stated Dan Dow, San Luis Obispo County District Attorney.</p>

<p>This case is the product of an investigation by the Federal Bureau of Investigation, the Fresno Police Department, the San Luis Obispo Police Department and the San Luis Obispo District Attorney’s Office. Assistant United States Attorneys Michael Frye and Mia Giacomazzi are prosecuting the case.</p>

<p>This case was brought as part of Project Safe Childhood, a nationwide initiative launched in May 2006 by the Department of Justice to combat the growing epidemic of child sexual exploitation and abuse. Led by the United States Attorneys’ Offices and the Criminal Division’s Child Exploitation and Obscenity Section, Project Safe Childhood marshals federal, state, and local resources to locate, apprehend, and prosecute those who sexually exploit children, and to identify and rescue victims. For more information about Project Safe Childhood, please visit <strong><em>www.usdoj.gov/psc</em></strong>. Click on the “resources” tab for information about Internet safety education.</p>",True,False
3f9624dd-a811-45b2-ac5d-aa4379444282,https://www.justice.gov/usao-ndil/pr/chicago-man-charged-sex-trafficking-16-year-old-girl-who-was-allegedly-murdered,Human Trafficking,"USAO - Illinois, Northern",1498072153,1498073417,1498017600.0,"Joseph Hazley, 33, of Chicago, is charged with sex trafficking for allegedly arranging a Christmas Eve sex encounter for a 16-year-old girl that ended in the child’s murder.",Chicago Man Charged with the Sex Trafficking of a 16-Year-Old Girl Who Was Allegedly Murdered by a Customer,"<p><span><span><span><span><span>CHICAGO — A Chicago man was arrested today on a federal sex trafficking charge for allegedly arranging a commercial sex encounter for a 16-year-old girl that ended in the child’s murder in a south suburban garage on Christmas Eve.</span></span></span></span></span></p>

<p><span><span><span><span><span>JOSEPH HAZLEY, 33, </span></span></span><span lang=""EN""><span><span>posted the girl’s information in commercial sex advertisements on Backpage.com, and arranged multiple meetings in December 2016 for her to engage in prostitution, </span></span></span><span><span><span>according to a criminal complaint filed in U.S. District Court in Chicago</span></span></span><span lang=""EN""><span><span>. Hazley drove the girl to several meetings in the Chicago area</span></span></span><span><span><span>, including an encounter in the early morning hours of Christmas Eve in a garage in south suburban Markham</span></span></span><span lang=""EN""><span><span>, the complaint states. During this encounter, the customer allegedly murdered the girl.</span></span></span></span></span></p>

<p><span><span><span lang=""EN""><span><span>Hazley was arrested this morning at his home in Chicago. </span></span></span><span><span><span>The complaint charges </span></span></span><span lang=""EN""><span><span>him with one count of sex trafficking. The charge is punishable by a minimum sentence of ten years in prison and a maximum of life in prison.</span></span></span></span></span></p>

<p><span><span><span lang=""EN""><span><span>Hazley made an initial court appearance this morning before U.S. Magistrate Judge Daniel G. Martin in Chicago. Judge Martin ordered Hazley to remain in federal custody until a detention hearing on June 23, 2017, at 10:30 a.m. </span></span></span> </span></span></p>

<p><span><span><span><span><span>The complaint was announced by Joel R. Levin, Acting United States Attorney for the Northern District of Illinois; </span></span></span><span lang=""EN""><span><span>Michael J. Anderson, </span></span></span><span><span><span>Special Agent in Charge of the Chicago office of the Federal Bureau of Investigation; Cook County Sheriff Thomas J. Dart; and Chicago Police Superintendent Eddie T. Johnson. Substantial assistance was provided by the Markham Police Department and the Cook County State’s Attorney’s Office.</span></span></span></span></span></p>

<p><span><span><span><span><span>The government is represented by Assistant U.S. Attorney Christopher V. Parente</span></span></span><span><span><span>.</span></span></span></span></span></p>

<p><span><span><span lang=""EN""><span><span>According to the complaint, the customer responded to Hazley’s Backpage.com posting to arrange the Christmas Eve meeting with the minor. Hazley drove the girl to Markham and waited in his car a few yards from the garage while she met with the customer, the complaint states. During the encounter in the garage, the customer allegedly murdered the girl, the complaint states. </span></span></span></span></span></p>

<p><span><span><span lang=""EN""><span><span>The customer was subsequently arrested by the Chicago Police Department and charged with murder in Cook County Criminal Court.</span></span></span></span></span></p>

<p><span><span><span><span><span>The public is reminded that a complaint is not evidence of guilt. The defendant is presumed innocent and entitled to a fair trial at which the government has the burden of proving guilt beyond a reasonable doubt. If convicted, the Court must impose a reasonable sentence under federal statutes and the advisory U.S. Sentencing Guidelines.</span></span></span></span></span></p>

<p><span lang=""EN""><span>If you believe you are a victim of sexual exploitation, you are encouraged to call the National Center for Missing and Exploited Children at 1-800-843-5678. The hotline is available 24 hours a day, 7 days a week.</span></span></p>",True,False
781b7c35-7d97-4e74-82f2-5327f70b1f41,https://www.justice.gov/usao-gu/pr/us-attorney-alicia-ag-limtiaco-keynote-speaker-uog-s-human-trafficking-forum,,USAO - Guam & Northern Mariana Islands,1420673515,1420673515,1371182400.0,,U.S. Attorney Alicia A.G. Limtiaco Keynote Speaker At UOG’s Human Trafficking Forum,"<div id=""content"">     <div class=""contentSub"">                                                 <div></div>               	         <div>                                             <div class=""clear"">           <p>HAGATNA, GU -- United States Attorney ALICIA A.G. LIMTIACO, U.S. Attorney for the Districts of Guam and the Northern Mariana Islands (NMI), WAS THE KEYNOTE SPEAKER AT THE University of Guam’s (UOG) “It’s Happening: Human Trafficking Forum with a Special Emphasis on Sex Trafficking on Guam and Micronesia,” held on May 10, 2013, at the UOG Class Lecture Hall. The Forum was organized by UOG’s School of Business &amp; Public Administration Government Public Information Spring ’13 class. U.S. Attorney Limtiaco’s presentation included information about the Pacific Regional Response to Combat Human Trafficking initiative.</p>           <p>            The U.S. Attorney’s Office (“USAO”) for the Districts of Guam and the Northern Mariana Islands (“NMI”) continues to work collaboratively with the National District Attorney’s Association; U.S. Department of Interior, Office of Insular Affairs, Federal Ombudsman Office; and U.S. Department of State, Monitoring of Trafficking in Persons Office, on a Pacific Regional Response to Combat Human Trafficking.</p>           <p>            The Pacific Regional Response to Combat Human Trafficking initiative employs a multidisciplinary model, including participation, coordination, and collaboration among law enforcement; prosecution; victim service providers; social services; medical, mental and public health professionals; faith based organizations; educational institutions; Consulates; and other community stakeholders. The response calls for the establishment and provision of victim services, investigation and prosecution of human trafficking, training opportunities, community outreach/ public awareness and prevention programs, and creation of human trafficking task forces and coalitions in the Pacific region island communities. The response provides training in human trafficking, including victimization, investigation and prosecution, prevention efforts, and other related topics. The critical training is provided to various groups in our Pacific region island communities, to law enforcement; prosecution; victim service providers; social services; medical, mental and public health professionals; faith based organizations; educational institutions; Consulates; and other community stakeholders.</p>           <p>            The objective of the Forum was to promote awareness to the sensitive issue of Human Trafficking with a focus on Sex Trafficking with Micronesia. Key leaders were invited to convey their current and future actions in regards to Human Trafficking. The Form was in correlation and support of Law Week 2013 and the 150th anniversary of the Emancipation Proclamation.</p>           <p>            The Human Trafficking Forum included presentations from other community leaders in law enforcement, the Judiciary and non-governmental organizations and support groups. Attached are photos taken at the event.</p>         </div>                </div>                                 </div>                       </div>",False,True
5d563b03-de70-4ff4-9216-313f71f03452,https://www.justice.gov/usao-edva/pr/georgia-man-pleads-guilty-sex-trafficking-multiple-teen-girls-and-running-child,,"USAO - Virginia, Eastern",1426730194,1426730194,1362974400.0,,Georgia Man Pleads Guilty To Sex Trafficking Multiple Teen Girls And Running A Child Exploitation Enterprise,"<div id=""content"">     <div class=""contentSub"">                                   <div></div>       <div>                                                                      <p>ALEXANDRIA,  Va. – Edwin Barcus Jr., aka “Boo,” 27, of Georgia, pleaded guilty to running a  commercial sex business that prostituted at least seven juvenile girls in  Herndon, Va., and other locations throughout Virginia, Maryland, North and  South Carolina, Georgia, and Florida.</p>         <p>            Neil H. MacBride, United States  Attorney for the Eastern District of Virginia; Virginia Attorney General  Kenneth Cuccinelli, II; Valerie Parlave, Assistant  Director in Charge of the FBI’s Washington Field Office; and Lt. Colonel  James A. Morris, Acting Fairfax County Chief of Police, made the announcement  after the plea was accepted by United States District Judge Gerald Bruce Lee.</p>         <p>            Barcus pleaded guilty to engaging in  a child exploitation enterprise and faces a mandatory minimum of 20 years and a  maximum of life in prison when he is sentenced on June 7, 2013.</p>         <p>            “Edwin Barcus made his living  exploiting vulnerable young girls and luring them into prostitution,” said U.S.  Attorney MacBride. “Barcus saw these girls as his property – even making them  get tattoos with his nickname. Thanks to the FBI, Fairfax County Police  Department and the members of our Northern Virginia Human Trafficking Task  Force, his operation is shut down and can no longer victimize these girls.”    </p>         <p>            “Recruiting, exploiting and  transporting juveniles for the purpose of underage prostitution is a cruel form  of modern-day slavery,” said Assistant Director in Charge Parlave. “Prostitution  is not a victimless crime.  The FBI is committed to apprehending  individuals who sexually exploit juveniles, and we will continue to work to  identify these predators and their victims.”</p>         <p>            According to a statement of facts  filed with his plea agreement, since August 2007, Barcus has led and organized  a commercial sex organization that has prostituted at least 23 women, including  at least four of whom were 16 years old and at least three were 17 years old  when Barcus began prostituting them. He targeted juveniles who had run away  from home or lived in a broken home, sometimes making them believe that he or  other members of the organization were romantically interested in them. Barcus  also stated that he purchased clothing and shoes for girls he wanted to recruit  as a means of luring them into the venture.</p>         <p>            Barcus admitted that he used  Backpage.com and other erotic internet sites to advertise the girls’ services  and to recruit girls to work for his organization. When the girls found it  difficult to repeatedly have sex with strange men, Barcus and others provided  them with alcohol and narcotics to make them more vulnerable and susceptible to  prostitution.</p>         <p>            Barcus and other conspirators  carried and, when necessary, brandished firearms while engaging in  prostitution-related activities, and Barcus battered at least three of the  females working for his commercial sex enterprise. At times, Barcus had the  women and girls he prostituted tattooed with his nickname: “Boo.”</p>         <p>            In November 2012, Barcus was  prostituting at least one juvenile in Herndon, Va., while another member of his  organization was prostituting other females in Atlanta, Ga. Because the venture  was yielding substantial profits in Herndon, Barcus instructed the conspirator  to bring two 17-year-old girls to Herndon. When one of the girls objected, she  was told that “under the rules of the game” she had to go to Virginia. Barcus  admitted that each girl servicing clients in Herndon could obtain $500 or more  per day. All of the money was turned over to Barcus or other members of the  enterprise.       </p>         <p>This case was investigated by  the FBI’s Washington Field Office and the Fairfax County Police Department,  with assistance from the Northern Virginia Human Trafficking Task Force.  Assistant United States Attorney Michael J. Frank and Virginia Assistant  Attorney General and Special Assistant United States Attorney Marc J. Birnbaum  are prosecuting the case on behalf of the United States.</p>         <p>Founded in 2004, the Northern  Virginia Human Trafficking Task Force is a collaboration of federal, state, and  local law enforcement agencies – along with nongovernmental organizations –  dedicated to combating human trafficking and related crimes. </p>                              A  copy of this press release may be found on the website of the United States  Attorney's Office for the Eastern District of Virginia at <a href=""http://www.justice.gov/usao/vae"">http://www.justice.gov/usao/vae</a>.  Related court documents and information may  be found on the website of the District Court for the Eastern District of  Virginia at <a href=""http://www.vaed.uscourts.gov/"">http://www.vaed.uscourts.gov</a> or on <a href=""https://pcl.uscourts.gov"">https://pcl.uscourts.gov</a>.                               </div>                   </div>                       </div>",False,True
d2e071cb-d0b7-40d7-9390-de3baf7fffaf,https://www.justice.gov/usao-wdpa/pr/coatesville-pa-man-sentenced-10-years-prison-sex-trafficking-minor,Human Trafficking,"USAO - Pennsylvania, Western",1436910899,1450462245,1420693200.0,,"Coatesville, Pa., Man Sentenced To 10 Years In Prison For Sex Trafficking A Minor","<div id=""content"">
<div class=""contentSub"">
<div> </div>

<div>
<div id=""wholepage"">
<div>
<p>PITTSBURGH - A Chester County resident has been sentenced in federal court to 10 years imprisonment, to be followed by five years of supervised release, on his conviction of sex trafficking of a child, United States Attorney David J. Hickton announced today.</p>

<p>Senior United States District Judge Mark R. Hornak imposed the sentence on Rasul Abernathy, 33, formerly of Coatesville, Pa.</p>

<p>According to information presented to the court, in and around December of 2012, to in and around March 2013, Abernathy knowingly recruited, enticed, harbored, transported, provided and obtained a minor, John Doe, to engage in a commercial sex acts.</p>

<p>Assistant United States Attorney Jessica Lieber Smolar prosecuted this case on behalf of the government.</p>

<p>U.S. Attorney Hickton commended the Federal Bureau of Investigation, the Allegheny County Police Department and the City of Pittsburgh Bureau of Police for the investigation leading to the successful prosecution of Abernathy.</p>

<p>This case was brought as part of Project Safe Childhood, a nationwide initiative launched in May 2006 by the Department of Justice to combat the growing epidemic of child sexual exploitation and abuse. Led by the United States Attorneys' Offices and the Criminal Division's Child Exploitation and Obscenity Section, Project Safe Childhood marshals federal, state, and local resources to locate, apprehend, and prosecute individuals who sexually exploit children, and to identify and rescue victims. For more information about Project Safe Childhood, please visit <a href=""http://www.justice.gov/psc"">www.justice.gov/psc</a>.</p>
</div>

<div id=""right""> </div>
</div>
</div>
</div>
</div>",True,False
c22312b3-6aab-44fd-b7ad-43e07900ae25,https://www.justice.gov/usao-ndtx/pr/dallas-man-faces-10-years-federal-prison-transporting-woman-oklahoma-texas-engage,Human Trafficking,"USAO - Texas, Northern",1435025455,1450460377,1425358800.0,,Dallas Man Faces Up To 10 Years In Federal Prison For Transporting Woman From Oklahoma To Texas To Engage In Prostitution,"<div id=""content"">
<div class=""contentSub"">
<div> </div>

<div>
<p><strong>DALLAS</strong> — Justin Dishon Brathwaite, 27, of Dallas, Texas, appeared in federal court today before U.S. Magistrate Judge Renee Harris Toliver and pleaded guilty to one count of transportation of individuals to engage in prostitution, announced John Parker, Acting U.S. Attorney for the Northern District of Texas.</p>

<p>Brathwaite, who remains on bond, faces a maximum statutory penalty of 10 years in federal prison and a $250,000 fine. Sentencing is set for June 17, 2015, before U.S. District Judge Barbara M. G. Lynn.</p>

<p>According to documents filed in the case, in early May 2012, Brathwaite called 19-year-old “Jane Doe,” after seeing her on Backpage.com in Oklahoma City. Jane Doe and Brathwaite spoke on the phone for about two weeks, and Brathwaite invited her to come to Dallas to live with him. He promised to take care of her if she moved to Dallas to be with him and told her she should stop engaging in commercial sex acts. Jane Doe agreed to the move.</p>

<p>On May 12, 2012, Brathwaite drove from Dallas to Oklahoma City, picked up Jane Doe and returned to Dallas. Once they arrived in Dallas, Brathwaite told her she needed to begin immediately to make money for him, or he would drop her off somewhere and leave her. Jane Doe eventually agreed to work at a strip club and engage in commercial sex acts. Brathwaite posted ads featuring her on Backpage.com, and he made Jane Doe give him all of the proceeds from her commercial sex acts. Brathwaite took Jane Doe to various cities in Texas, including Denton, Killeen, Houston and Austin.</p>

<p>On June 12, 2012, the Dallas Police Department’s vice unit encountered Jane Doe in a hotel room in Dallas and arrested her for prostitution. The investigation led to Brathwaite’s involvement in her commercial sex acts.</p>

<p>The FBI investigated. Assistant U.S. Attorney Cara Foos Pierce is prosecuting.</p>
</div>
</div>
</div>",True,False
5d2d767d-6266-4b67-8db9-116dcea3a736,https://www.justice.gov/usao-ndfl/pr/human-trafficker-gets-life-prison,,"USAO - Florida, Northern",1422312748,1422312748,1413432000.0,,Human Trafficker Gets Life In Prison,"<div id=""content"">     <div class=""contentSub"">                                   <div></div>       <div>                <div align=""center"">                      </div>                                                       <a href=""https://twitter.com/NDFLNews"" class=""twitter-follow-button"" data-show-count=""false"" data-lang=""en"">Follow @NDFLNews</a> 
<!--//--><!--

//-->
<p><strong>PANAMA  CITY, FLORIDA </strong>–Jacobo  Feliciano-Francisco, a/k/a “Kiko”, age 32, was   sentenced in United States District Court yesterday to spend the  remainder of his life in prison after he was convicted of kidnapping,  retaliating against a witness, conspiracy, and transportation and of an  individual in interstate commerce for prostitution.  The sentence was announced by Pamela C. Marsh,  United States Attorney for the Northern District of Florida.</p>         <p>The female victim in this case had previously cooperated  with the FBI after being forced and coerced by others to work as a prostitute between  2009 and 2011.  Due to that cooperation,  a total of 13 individuals were convicted in Tennessee and Kentucky of various  federal sex-trafficking and prostitution criminal charges.  Following her cooperation with law  enforcement, the victim and her family were relocated to Panama City Beach,  Florida, out of concern for their safety.</p>         <p>In retaliation for her cooperation as a prior Federal  witness, Feliciano-Francisco and others tracked down her location, repeatedly  threatened the physical safety of both her and her family, kidnapped her, and  transported her to a brothel in Hattiesburg, Mississippi, with the intent that  she would be forced back into prostitution.  During her kidnapping, Feliciano-Francisco not  only verbally threatened and intimidated the victim, but he physically  terrorized and humiliated her when he sexually assaulted her.  After arriving in Hattiesburg, the victim  escaped Feliciano-Francisco and led police back to the brothel where he was  arrested.</p>         <p>“Prosecuting  human traffickers is a top priority for this U.S. Attorney’s office and the  Department of Justice,” said U.S. Attorney Marsh.  “Congress has given us strong laws to go  after this heinous crime, which is often difficult to find and prove because  traffickers enforce silence among their victims through coercion and violence,  as happened in this case.  Despite those  threats, however, the victim showed tremendous bravery in coming forward to help  bring this defendant to justice.  We  commend her for her courage and pledge to continue this important fight against  this modern form of slavery.” </p>         <p>This  conviction results from an investigation by agents of the FBI, U.S. Immigration  and Customs Enforcement’s Homeland Security Investigations, and the Hattiesburg  Police Department, and was prosecuted by Assistant United States Attorney Katy  Risinger.</p>                                                                                                                                                                                                                		 		             </div>                   </div>                       </div>",False,True
ecdd7f8e-9c0f-429f-9050-0eb102017950,https://www.justice.gov/opa/pr/superseding-indictment-returned-charging-father-and-son-sex-trafficking-offenses,,Civil Rights Division; Civil Rights - Criminal Section,1385054067,1440593892,1385010000.0,"A federal grand jury in Milwaukee has returned an 11-count superseding indictment adding David B. Moore, 45, as a defendant in the federal sex trafficking case involving his son, Najee Moore, 22.",Superseding Indictment Returned Charging Father and Son with Sex Trafficking Offenses,"<p>A federal grand jury in Milwaukee has returned an 11-count superseding indictment adding David B. Moore, 45, as a defendant in the federal sex trafficking case involving his son, Najee Moore, 22. </p>

<p> </p>

<p>Both men are charged with conspiracy to engage in the sex trafficking and forced labor of a minor and sex trafficking of a minor.  David Moore is also charged with soliciting his son to engage in sex trafficking.  Najee Moore is charged with an additional conspiracy to engage in sex trafficking and forced labor, two counts of sex trafficking of an adult, attempted sex trafficking of a minor, attempted forced labor, evidence tampering and attempted witness tampering.  The previous indictment in the case, returned on June 18, 2013, charged only Najee Moore with sex trafficking, attempted forced labor and related offenses.</p>

<p> </p>

<p>According to the superseding indictment, between February 2008 and December 2009 David Moore and Najee Moore conspired to compel a minor to engage in prostitution and strip club dancing and caused that minor to engage in acts of prostitution.  In July 2011, David Moore allegedly solicited his son to engage in further acts of sex trafficking.  Between 2011 and 2013, Najee Moore allegedly engaged in the conduct charged in the remaining counts.</p>

<p> </p>

<p>Both Moores face a statutory maximum sentence of life imprisonment.</p>

<p> </p>

<p>An indictment is merely an accusation.  All defendants are presumed innocent until proven guilty.   </p>

<p>The case is being investigated by the FBI, the Milwaukee Police Department, DHS Homeland Security Investigations and the Wisconsin Department of Criminal Investigation.  The case is being jointly prosecuted by Assistant U.S. Attorney Karine Moreno-Taxman and Trial Attorney Daniel H.Weiss of the Civil Rights Division's Human Trafficking Prosecution Unit. </p>",False,True
7901957e-b888-4491-850d-647e76e12cb6,https://www.justice.gov/usao-ndfl/pr/eight-sentenced-interstate-human-trafficking-conspiracy,Human Trafficking,"USAO - Florida, Northern",1478121654,1478121822,1478059200.0,"PANAMA CITY, FLORIDA – Eight defendants, all of whom resided illegally in the United States, have been sentenced in an interstate human trafficking case.  The sentences were announced by Christopher P. Canova, United States Attorney for the Northern District of Florida.",Eight Sentenced in Interstate Human Trafficking Conspiracy,"<p><strong>PANAMA CITY, FLORIDA</strong> – Eight defendants, all of whom resided illegally in the United States, have been sentenced in an interstate human trafficking case.  The sentences were announced by Christopher P. Canova, United States Attorney for the Northern District of Florida.</p>

<p>The defendants and sentences are:</p>

<ul><li>Edegardo Osorno Rodriguez, 38, Santa Rosa Beach, Florida, 60 months in prison;</li>
	<li>Mauro Gonzalez-Lira, 25, McComb, Mississippi, 60 months in prison;</li>
	<li>Jose Juan Ruiz Prudencio, 41, Montgomery, Alabama, 48 months in prison;</li>
	<li>Romon Tobon, 46, Starkville, Mississippi, 42 months in prison;</li>
	<li>Antonio Flores-Esparza, 32, Pensacola, Florida, 24 months in prison;</li>
	<li>Jose Alvaro Trujillo-Santiz, 46, Panama City Beach, Florida, 18 months in prison;</li>
	<li>Emerson Corvera, 21, Montgomery, Alabama, 9 months in prison; and</li>
	<li>Rosa Mirtha Cruz Vidal, 35, Santa Rosa Beach, Florida, 8.5 months in prison.</li>
</ul><p>Between February and May 2016, seven defendants pled guilty to engaging in a conspiracy during 2014 and 2015, to transport, harbor, and market undocumented female immigrants for prostitution in Florida, Alabama, Mississippi, and Louisiana.  Thereafter, the defendants wired the prostitution proceeds outside the United States.</p>

<p>In addition to conspiracy, the following defendants also pled guilty to:</p>

<ul><li>Enticing individuals to travel in interstate commerce to engage in prostitution
	<p>(Rodriguez, Flores-Esparza, Gonzalez-Lira, and Prudencio);</p>
	</li>
	<li>Transporting individuals in interstate commerce to engage in prostitution
	<p>(Rodriguez, Flores-Esparza, Prudencio, Tobon, and Corvera); and</p>
	</li>
	<li>Illegal entry by a deported alien (Tobon).</li>
</ul><p>In May 2016, Cruz Vidal pled guilty to fraud and misuse of a falsely made permanent resident alien card.</p>

<p>Upon completion of their sentences, each defendant will be turned over to the Department of Homeland Security for deportation.  Cruz Vidal has already been deported from the United States.  Lazaro Juarez-Juarez, 34, of Atlanta, Georgia, who was also indicted in this case, has not been apprehended.</p>

<p>United States Attorney Canova stated, “Combatting human trafficking is a priority of the Department of Justice and my office, and the trafficking of women for commercial sex is a significant part of the human trafficking problem that our country faces.  In this particular case, dozens of women were brought into the United States illegally and exploited by the defendants to engage in prostitution in several states for the defendants’ profit.  This office will continue to partner with our federal, state, and local law enforcement agencies to investigate and vigorously prosecute the trafficking of vulnerable victims for sex.”</p>

<p>“Human trafficking is a violation of its victims’ civil rights, and infringes upon the protected liberties guaranteed to all Americans,” said Charles P. Spencer, Special Agent in Charge of the FBI’s Jacksonville Division.  “This type of illegal activity demonstrates a very real risk to our local communities, and stopping it remains one of the highest criminal investigative priorities for the FBI.”</p>

<p>“Human trafficking is an abomination, and this criminal organization has devastated the lives of so many women,” said Susan L. McCormick, special agent in charge of HSI Tampa.  “These sentencings are the result of the hard work of our special agents and show the importance HSI places on investigating human trafficking crimes.”</p>

<p>This case resulted from a 15-month investigation into human trafficking activities in the Northern District of Florida by the Federal Bureau of Investigation and the United States Immigration and Customs Enforcement Homeland Security Investigations.  The case was prosecuted by Assistant United States Attorney Stephen M. Kunz.  It is a follow-up prosecution to a previous <a href=""http://www.justice.gov/usao-ndfl/pr/human-trafficker-gets-life-prison""><u>kidnapping case</u></a> prosecuted in federal court in Panama City.</p>

<p>The United States Attorney's Office for the Northern District of Florida is one of 94 offices that serve as the nation’s principal litigators under the direction of the Attorney General.  To access public court documents online, please visit the <a href=""https://ecf.flnd.uscourts.gov/cgi-bin/login.pl""><u>U.S. District Court for the Northern District of Florida</u></a> website.  For more information about the United States Attorney’s Office, Northern District of Florida, visit <a href=""http://www.justice.gov/usao/fln/index.html""><u>http://www.justice.gov/usao/fln/index.html</u></a>.</p>

<p>For more information, contact:<br />
Amy Alexander, Public Information Officer<br />
(850) 216-3854, <a href=""mailto:amy.alexander@usdoj.gov""><u>amy.alexander@usdoj.gov</u></a></p>",True,False
fd86a8c8-f35d-4b29-9405-a717a76372d0,https://www.justice.gov/usao-edla/pr/doj-human-trafficking-grant-15-million-awarded-eastern-district-louisiana,Human Trafficking,"USAO - Louisiana, Eastern",1443210163,1443210268,1443153600.0,,DOJ Human Trafficking Grant for $1.5 Million Awarded to the Eastern District of Louisiana,"<div>
<p class=""rtejustify"">U.S. Attorney Kenneth A. Polite announced today that, as part of more than $44 million in grant funding to combat human trafficking, the Justice Department awarded $1.5 million to the Eastern District of Louisiana to support law enforcement efforts and victim services for the next three years.</p>

<p class=""rtejustify"">The list of this year’s grantees include:</p>

<p class=""rtejustify"">Covenant House New Orleans                                   $900,000</p>

<p class=""rtejustify"">Jefferson Parish Sheriff’s Office                                $600,000</p>
</div>

<p class=""rtejustify"">“Human traffickers prey on some of the most vulnerable members of our society, and their crimes – which are nothing short of modern-day slavery – have no place in this country,” said Attorney General Lynch.  “These grants – administered by the Office of Justice Programs’ Bureau of Justice Assistance (BJA), the Office of Juvenile Justice and Delinquency Prevention, the Office for Victims of Crime (OVC) and the National Institute of Justice – will fund efforts across the country to fight human trafficking, to provide services for survivors and to expand research going forward.”</p>

<p class=""rtejustify"">“These grant awards will help continue our District’s fight against human trafficking,” stated U.S. Attorney Polite.  “I congratulate Jim Kelly and Sheriff Newell Normand for their work in this area.  They are among a group of community leaders who are dedicated to eliminating modern-day slavery here in Southeast Louisiana.”</p>

<p class=""rtejustify"">The grants are part of a government-wide effort to combat human trafficking and provide services to survivors, as outlined in <a href=""http://www.ovc.gov/pubs/FederalHumanTraffickingStrategicPlan.pdf""><strong><em><u>Coordination, Collaboration, Capacity: Federal Strategic Action Plan on Services for Victims of Human Trafficking in the United States, 2013–2017</u></em></strong></a>, released by the White House in January 2014.</p>

<div>
<p> </p>
</div>",True,False
